GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
Ahoge,Hair Ahoge,Hair Ahoge,头发呆毛,頭髮呆毛,Haare Ahoge,Ahoge,Cheveux Ahoge,Haj Ahoge,アホ毛,헤어 아호게,Волосы Ахоге
AhogeOutline,Hair Ahoge Outline,Hair Ahoge Outline,头发呆毛轮廓,頭髮呆毛輪廓,Haare Ahoge Umriss,Contorno del Ahoge,Aperçu des cheveux Ahoge,Haj Ahoge vázlat,アホ毛 輪郭,헤어 아호게 윤곽선,Наброски волос Ахоге
AnimalEarLeft,Animal Ear >>,Animal Ear >>,兽耳 >>,獸耳 >>,Tierohr >>,Oreja de animal >>,Oreille d'animal >>,Állati fül >>,ケモ耳 >>,동물의 귀 >>,Ухо животного >>
AnimalEarLeftFur,Animal Ear >> Fur,Animal Ear >> Fur,兽耳 >> 毛,獸耳 >> 毛,Tierohr >> Fell,Orejas de animal >> Pelaje,Oreille d'animal >> Fourrure,Állati fül >> Szőrme,ケモ耳 毛 >>,동물의 귀 >> 모피,Уши животных >> Мех
AnimalEarLeftFurOutline,Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,兽耳 >> 毛轮廓,獸耳 >> 毛輪廓,Tierohr >> Fellumriss,Orejas de animal >> Contorno del pelaje,Oreille d'animal >> Contour de fourrure,Állati fül >> Szőrme körvonala,ケモ耳 毛 輪郭 >>,동물의 귀 >> 모피 개요,Ухо животного >> Контур меха
AnimalEarLeftOutline,Animal Ear >> Outline,Animal Ear >> Outline,兽耳 >> 轮廓,獸耳 >> 輪廓,Tierohr >> Umriss,Orejas de animal >> Contorno,Oreille d'animal >> Aperçu,Állati fül >> Vázlat,ケモ耳 輪郭 >>,동물의 귀 >> 개요,Ухо животного >> Схема
AnimalEarRight,Animal Ear <<,Animal Ear <<,兽耳 <<,獸耳 <<,Tierohr <<,Orejas de animal <<,Oreille d'animal <<,Állati fül <<,ケモ耳 <<,동물의 귀 <<,Ухо животного <<
AnimalEarRightFur,Animal Ear << Fur,Animal Ear << Fur,兽耳 << 毛,獸耳 << 毛,Tierohr << Fell,Orejas de animal << Pelaje,Oreille d'animal << Fourrure,Állati fül << Szőrme,ケモ耳 毛 <<,동물의 귀 << 모피,Ухо животного << Мех
AnimalEarRightFurOutline,Animal Ear << Fur Outline,Animal Ear << Fur Outline,兽耳 << 毛轮廓,獸耳 << 毛輪廓,Tierohr << Fellumriss,Orejas de animal << Contorno del pelaje,Oreille d'animal << Contour de fourrure,Állati fül << szőrme körvonala,ケモ耳 毛 輪郭 <<,동물 귀 << 모피 개요,Ухо животного << Контур меха
AnimalEarRightOutline,Animal Ear << Outline,Animal Ear << Outline,兽耳 << 轮廓,獸耳 << 輪廓,Tierohr << Umriss,Orejas de animal << Contorno,Oreille d'animal << Aperçu,Állati fül << Vázlat,ケモ耳 輪郭 <<,동물의 귀 << 개요,Ухо животного << Схема
AntennaLeft,Antenna >>,Antenna >>,触角 >>,觸角 >>,Antenne >>,Antena >>,Antenne >>,Antenna >>,アンテナ >>,안테나 >>,Антенна >>
AntennaLeftOutline,Antenna >> Outline,Antenna >> Outline,触角 >> 轮廓,觸角 >> 輪廓,Antenne >> Umriss,Antena >> Contorno,Antenne >> Aperçu,Antenna >> Vázlat,アンテナ 輪郭 >>,안테나 >> 개요,Антенна >> Схема
AntennaRight,Antenna <<,Antenna <<,触角 <<,觸角 <<,Antenne <<,Antena <<,Antenne <<,Antenna <<,アンテナ <<,안테나 <<,Антенна <<
AntennaRightOutline,Antenna << Outline,Antenna << Outline,触角 << 轮廓,觸角 << 輪廓,Antenne << Umriss,Antena << Contorno,Antenne << Aperçu,Antenna << Vázlat,アンテナ 輪郭 <<,안테나 << 개요,Антенна << Схема
BackHair,Hair Rear,Hair Rear,头发 后侧,頭髮 後側,Haare hinten,Pelo trasero,Cheveux arrière,Haj Hátsó,後ろ髪,헤어 리어,Волосы сзади
BackHairOutline,Hair Rear Outline,Hair Rear Outline,头发 后侧 轮廓,頭髮 後側 輪廓,Haare hinten Umriss,Contorno del pelo trasero,Contour arrière des cheveux,Haj hátsó körvonala,後ろ髪 輪郭,헤어 후면 윤곽선,Контур волос сзади
BeverageCup,Beverage Cup,Beverage Cup,饮料杯,飲料杯,Getränkebecher,Vaso de bebida,Tasse de boisson,Italpohár,飲み物のカップ,음료 컵,Кубок для напитков
BeverageLiquid,Beverage Liquid,Beverage Liquid,饮料杯 液体,飲料杯 液體,Becherflüssigkeit,Líquido del vaso,Boisson liquide,Folyékony ital,飲み物,음료수 액체,жидкость для напитков
BeverageLiquid2,Beverage Liquid 2,Beverage Liquid 2,饮料杯 液体 2,飲料杯 液體 2,Becherflüssigkeit 2,Líquido del vaso 2,Boisson liquide 2,Folyékony ital 2,飲み物2,음료수 2,Жидкость для напитков 2
Bill,Bill,Bill,钞票,鈔票,Schnabel,Billetes,Facture,Számla,紙幣,청구서,Счет
BlanketInner,Blanket Inner,Blanket Inner,被子 里侧,被子 裏側,Decke innen,Manta interior,Couverture intérieure,Belső takaró,ブランケット内側,담요 내부,Одеяло внутреннее
BlanketOutter,Blanket Outter,Blanket Outter,被子 外侧,被子 外側,Decke außen,Manta exterior,Couverture extérieure,Külső takaró,ブランケット外側,담요 외부,Одеяло наружное
Blush,Face Blush,Face Blush,脸红,臉紅,Gesichtsröte,Rubor,Fard À Joues Pour Le Visage,Arcpirosító,頬の赤み,페이스 블러셔,Румяна для лица
BrowLeft,Brow >>,Brow >>,眉毛 >>,眉毛 >>,Augenbraue >>,Ceja >>,Sourcil >>,Szemöldök >>,眉 >>,눈썹 >>,Брови >>
BrowRight,Brow <<,Brow <<,眉毛 <<,眉毛 <<,Augenbraue <<,Ceja <<,Sourcils <<,Szemöldök <<,眉 <<,눈썹 <<,Брови <<
Chopstick,Chopstick,Chopstick,筷子,筷子,Stäbchen,Palillos,Baguette,Pálcika,お箸,젓가락,Палочки для еды
Crowbar,Crowbar,Crowbar,撬棍,撬棍,Brecheisen,Palanca,Pied de biche,Emelőrúd,バール,바,лом
Cup,Cup,Cup,咖啡杯,咖啡杯,Tasse,Taza,Tasse,Csésze,カップ,컵,Чашка
CupSteam,Cup Steam,Cup Steam,咖啡杯 蒸汽,咖啡杯 蒸汽,Tasse Dampf,Vapor de la taza,Tasse Vapeur,Kupa Steam,湯気,컵 스팀,Кубок Паровой
Door,Door/Wall,Door/Wall,门/墙,門/牆,Tür/Wand,Puerta/Pared,Porte/Mur,Ajtó/fal,ドア／壁,문/벽,Дверь/Стена
DumEyePupilLeft,Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,呆眼 瞳孔 >>,呆眼 瞳孔 >>,Auge(Dum) Pupille >>,Pupila (tonta) >>,Oeil (Dum) Pupille >>,Szem(Dum) Pupilla >>,ほげ目 瞳 >>,눈(Dum) 눈동자 >>,Глаз(Дум) Зрачок >>
DumEyePupilRight,Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,呆眼 瞳孔  <<,呆眼 瞳孔  <<,Auge(Dum) Pupille <<,Pupila (tonta) <<,Oeil(Dum)Pupille <<,Szem(Dum) Pupilla <<,ほげ目 瞳 <<,눈(덤) 동공 <<,Глаз (Дум) Зрачок <<
Eyebag,Eyebag,Eyebag,眼袋,眼袋,Tränensack,Ojeras,Poche oculaire,Szemtáska,目のクマ,아이백,Мешок для глаз
EyeDarkLeft,Eye Iris Dark >>,Eye Iris Dark >>,眼睛 虹膜深色 >>,眼睛 虹膜深色 >>,Augeniris dunkel >>,Iris Oscuro >>,Iris des yeux foncé >>,Szem Iris Sötét >>,虹彩 濃 >>,아이 아이리스 다크 >>,Глаза Ирис Темные >>
EyeDarkRight,Eye Iris Dark <<,Eye Iris Dark <<,眼睛 虹膜深色 <<,眼睛 虹膜深色 <<,Augeniris dunkel <<,Iris Oscuro <<,Iris des yeux foncé <<,Szem Iris Sötét <<,虹彩 濃 <<,눈 홍채 다크 <<,Глаза Радужная оболочка Темные <<
EyeDollar,Eye Dollar,Eye Dollar,眼睛 钱,眼睛 錢,Augendollar,Ojos de dinero,Dollar pour les yeux,Szem dollár,お金の目,아이달러,Глаз доллара
EyeHeart,Eye Heart,Eye Heart,眼睛 爱心,眼睛 愛心,Augenherz,Ojos de corazón,Oeil Coeur,Szem Szív,ハート目,아이하트,Глаз Сердце
EyeHighlight,Eye Highlight,Eye Highlight,眼睛 高光,眼睛 高光,Augen Highlight,Brillo del ojo,Point culminant des yeux,Szemkiemelés,目ハイライト,아이 하이라이트,Выделение глаз
Eyelash,Eyelashes,Eyelashes,眼睛 睫毛,眼睛 睫毛,Wimpern,Pestañas,Cils,Szempilla,まつげ,속눈썹,Ресницы
EyeLightLeft,Eye Iris Light >>,Eye Iris Light >>,眼睛 虹膜浅色 >>,眼睛 虹膜淺色 >>,Augeniris hell >>,Brillo del iris >>,Lumière de l'iris des yeux >>,Szem írisz fénye >>,虹彩 淡 >>,눈 홍채 라이트 >>,Глаза Ирис Светлый >>
EyeLightRight,Eye Iris Light <<,Eye Iris Light <<,眼睛 虹膜浅色 <<,眼睛 虹膜淺色 <<,Augeniris hell <<,Brillo del iris <<,Lumière de l'iris des yeux <<,Eye Iris Light <<,虹彩 淡 <<,눈 홍채 빛 <<,Глаза Ирис Светлый <<
EyeOutline,Eye(Dum) Outline,Eye(Dum) Outline,呆眼 轮廓,呆眼 輪廓,Augen(Dum) Umriss,Contorno de ojo (tonto),Contour de l'oeil (Dum),Szem(Dum) körvonal,ほげ目 輪郭,눈(Dum) 외곽선,Контур глаза (дум)
EyeSparkling,Eye Sparkling,Eye Sparkling,眼睛 星星,眼睛 星星,Augenfunkeln,Ojos chispeantes,Oeil pétillant,Szem csillogó,キラキラ目,눈 반짝임,Сверкающие глаза
EyeSpiral,Eye Spiral,Eye Spiral,眼睛 圈圈,眼睛 圈圈,Augenspirale,Espiral en los ojos,Spirale des yeux,Szemspirál,ぐるぐる目,눈 나선형,Глазная спираль
EyeWhite,Eye White,Eye White,眼睛 白色部分,眼睛 白色部分,Augenweiß,Ojo blanco,Oeil blanc,Szem fehér,白目,눈 흰자,Глаз Белый
FaceShadow,Face Shadow,Face Shadow,脸 阴影,臉 陰影,Gesichtsschatten,Sombra de la cara,Ombre à visage,Arcárnyék,顔影,페이스 섀도우,Тень для лица
FinLeft,Fin >>,Fin >>,鳍 >>,鰭 >>,Flosse >>,Aleta >>,Aileron >>,Fin >>,ヒレ >>,핀 >>,Фин >>
FinLeftOutline,Fin >> Outline,Fin >> Outline,鳍 >> 轮廓,鰭 >> 輪廓,Flosse >> Umriss,Aleta >> Contorno,Fin >> Aperçu,Fin >> Vázlat,ヒレ 輪郭 >>,핀 >> 개요,Фин >> Схема
FinRight,Fin <<,Fin <<,鳍 <<,鰭 <<,Flosse <<,aleta <<,Fin <<,Fin <<,ヒレ <<,핀 <<,Фин <<
FinRightOutline,Fin << Outline,Fin << Outline,鳍 << 轮廓,鰭 << 輪廓,Flosse << Umriss,Fin << Contorno,Fin << Aperçu,Fin << Vázlat,ヒレ 輪郭 <<,핀 << 개요,Плавник << Схема
