Key,en,it,reviewed
Alert Bits,Alert Bits,Bit di avviso,False
Alert Donation,Alert Donation,Donazione avviso,False
Alert Heart,Alert Heart,Cuore vigile,False
Alert Like,Alert Like,Avviso Mi piace,False
Alert Star,Alert Star,Stella allerta,False
Angry,Angry,Arrabbiato,False
Arrive,Arrive,Arrivare,False
Arrive (with Chopstick),Arrive (with Chopstick),Arrivo (con la bacchetta),False
Arrive (with Spoon),Arrive (with Spoon),Arrivo (con cucchiaio),False
Bonk,Bonk,Buono,False
Copium,Copium,Copio,False
Crowbar 1,Crowbar 1,Piede di porco 1,False
Crowbar 2,Crowbar 2,Piede di porco 2,False
Crowbar 3,Crowbar 3,Piede di porco 3,False
Cry 1,Cry 1,Piangere 1,False
Cry 2,Cry 2,Piangere 2,False
Cry 3,Cry 3,Piangere 3,False
Dead,Dead,Morto,False
Dizzy,Dizzy,Dare le vertigini,False
Drink (Beverage Cup),Drink (Beverage Cup),Bevanda (tazza per bevande),False
Drive,Drive,Guidare,False
Drooling (Chopstick),Drooling (Chopstick),Sbavare (bacchette),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Sbavando (forchetta e coltello),False
Dum 1,Dum 1,Dimmi 1,False
Dum 2,Dum 2,Dimmi 2,False
Dum 3,Dum 3,Dimmi 3,False
Dum Sticker 1,Dum Sticker 1,Adesivo stupido 1,False
Dum Sticker 2,Dum Sticker 2,Adesivo stupido 2,False
Dum Sticker 3,Dum Sticker 3,Adesivo stupido 3,False
Exclamation,Exclamation,Esclamazione,False
Jail 1,Jail 1,Prigione 1,False
Jail 2,Jail 2,Prigione 2,False
Knife 1,Knife 1,Coltello 1,False
Knife 2,Knife 2,Coltello 2,False
Laugh,Laugh,Ridere,False
Lick,Lick,Leccata,False
Lightstick 1,Lightstick 1,Bastone luminoso 1,False
Lightstick 2,Lightstick 2,Bastone luminoso 2,False
Lurk 1,Lurk 1,In agguato 1,False
Lurk 2,Lurk 2,In agguato 2,False
Luv 1,Luv 1,Amore 1,False
Luv 2,Luv 2,Amore 2,False
Luv 3,Luv 3,Amore 3,False
Money,Money,Soldi,False
Mute 1,Mute 1,Muto 1,False
Mute 2,Mute 2,Muto 2,False
Nervous 1,Nervous 1,Nervoso 1,False
Nervous 2,Nervous 2,Nervoso 2,False
Noted 1,Noted 1,Notato 1,False
Noted 2,Noted 2,Notato 2,False
Pat,Pat,Pat,False
Point,Point,Punto,False
Question,Question,Domanda,False
Raid 1,Raid 1,Incursione 1,False
Raid 2,Raid 2,Incursione 2,False
RedPacket 1,RedPacket 1,Pacchetto Rosso 1,False
RedPacket 2,RedPacket 2,Pacchetto Rosso 2,False
Rose,Rose,Rosa,False
Score (0 Point),Score (0 Point),Punteggio (0 punti),False
Score (10 Point),Score (10 Point),Punteggio (10 punti),False
Shy 1,Shy 1,Timido 1,False
Shy 2,Shy 2,Timido 2,False
Sleep (Normal),Sleep (Normal),Sonno (normale),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Sonno (Preparazione alla Fase 1),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Sonno (Preparazione alla Fase 2),False
Sleep (UU),Sleep (UU),Sonno (UU),False
Sparkling,Sparkling,Scintillante,False
Surprise,Surprise,Sorpresa,False
Sweat,Sweat,Sudore,False
Thumb Down,Thumb Down,Pollice giù,False
Thumb Up,Thumb Up,Pollice in su,False
Type Angry,Type Angry,Digita Arrabbiato,False
Type Annoyed,Type Annoyed,Digita Infastidito,False
Type Normal,Type Normal,Digitare Normale,False
Work Angry,Work Angry,Lavora arrabbiato,False
Work Nap,Work Nap,Pisolino di lavoro,False
Work Normal,Work Normal,Lavoro normale,False
Work Tired,Work Tired,Lavoro stanco,False
Bell,Bell,Campana,False
Cake,Cake,Torta,False
Caught in 4K (Phone),Caught in 4K (Phone),Catturato in 4K (telefono),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Catturato in 4K (videocamera),False
Celebration,Celebration,Celebrazione,False
Head Nod,Head Nod,Testa annuita,False
Head Shake,Head Shake,Scuotere la testa,False
Hypnosis,Hypnosis,Ipnosi,False
Laugh (Point),Laugh (Point),Ridere (punto),False
Love Letter,Love Letter,Lettera d'amore,False
Need Food,Need Food,Bisogno di cibo,False
PNGTuber Idle,PNGTuber Idle,PNGTuber Inattivo,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Inattivo 2,False
PNGTuber Talk,PNGTuber Talk,PNGTuber Parla,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Parla 2,False
PNGTuber Yap,PNGTuber Yap,PNGTuber Già,False
Popcat Frame,Popcat Frame,Cornice Popcat,False
Popcat Smooth,Popcat Smooth,Popcat liscio,False
Sing,Sing,Cantare,False
Tablet,Tablet,Tavoletta,False
Tail Wag,Tail Wag,Scodinzolare,False
