Key,en,it,reviewed
Brows,Brows,Sopracciglia,False
Ear,Ear,Orecchio,False
Eye,Eye,Occhio,False
Base Hair,Base Hair,Capelli di base,False
Hair Bang >>,Hair Bang >>,Frangia ai capelli >>,False
Hair Bang ><,Hair Bang ><,Frangia ai capelli ><,False
Hair Bang <<,Hair Bang <<,Frangia ai capelli <<,False
Hair Shine,Hair Shine,Lucentezza dei capelli,False
Hair Branch >>,Hair Branch >>,Ramo di capelli >>,False
Hair Branch <<,Hair Branch <<,Ramo di capelli <<,False
Hair Framing >>,Hair Framing >>,Inquadratura dei capelli >>,False
Hair Framing <<,Hair Framing <<,Inquadratura dei capelli <<,False
Hair Framing,Hair Framing,Inquadratura dei capelli,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Punti salienti dei capelli 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Capelli in evidenza 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Capelli in evidenza 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Capelli evidenziati 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Capelli evidenziati 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Capelli evidenziati 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Capelli evidenziati 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Capelli evidenziati 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Capelli evidenziati 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Capelli in evidenza 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Capelli in evidenza 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Capelli in evidenza 3 <<,False
Hair Side,Hair Side,Lato dei capelli,False
Hair Ahoge,Hair Ahoge,Capelli Ahoge,False
Hair Rear,Hair Rear,Capelli posteriori,False
Hair Pigtail >>,Hair Pigtail >>,Codino per capelli >>,False
Hair Pigtail <<,Hair Pigtail <<,Codino per capelli <<,False
Animal Ear,Animal Ear,Orecchio animale,False
Antenna,Antenna,Antenna,False
Fin,Fin,Fin,False
Gill,Gill,Gill,False
Glasses,Glasses,Occhiali,False
Hairband A,Hairband A,Fascia per capelli A,False
Hairband B,Hairband B,Fascia per capelli B,False
Hairband C,Hairband C,Fascia per capelli C,False
Hairband D,Hairband D,Fascia per capelli D,False
Hair Clip >>,Hair Clip >>,Fermaglio per capelli >>,False
Hair Clip <<,Hair Clip <<,Fermacapelli <<,False
Halo,Halo,Alone,False
Hat,Hat,Cappello,False
Ear Wing,Ear Wing,Ala dell'orecchio,False
Horn,Horn,Corno,False
Horn Front ><,Horn Front ><,Clacson anteriore ><,False
Horn Front,Horn Front,Corno anteriore,False
Mecha,Mecha,Mecca,False
Outfit Collar Inner,Outfit Collar Inner,Colletto interno per outfit,False
Outfit Inner,Outfit Inner,Abito interno,False
Outfit Outer,Outfit Outer,Vestito esterno,False
Outfit Neckwear A,Outfit Neckwear A,Completo cravatta A,False
Outfit Neckwear B,Outfit Neckwear B,Completo cravatta B,False
Outfit Neckwear C,Outfit Neckwear C,Completo di cravatte C,False
Hair Side Branch >> A,Hair Side Branch >> A,Ramo laterale dei capelli >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Ramo laterale dei capelli >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Ramo laterale dei capelli >> C,False
Hair Side Branch << A,Hair Side Branch << A,Ramo laterale dei capelli << A,False
Hair Side Branch << B,Hair Side Branch << B,Ramo laterale dei capelli << B,False
Hair Side Branch << C,Hair Side Branch << C,Ramo laterale dei capelli << C,False
Tail,Tail,Coda,False
Wing,Wing,Ala,False
