Key,en,it,reviewed
Hair Ahoge,Hair Ahoge,Capelli Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Contorno dei capelli Ahoge,False
Animal Ear >>,Animal Ear >>,Orecchio di animale >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Orecchio di animale >> Pelliccia,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Orecchio di animale >> Contorno di pelliccia,False
Animal Ear >> Outline,Animal Ear >> Outline,Orecchio di animale >> Contorno,False
Animal Ear <<,Animal Ear <<,Orecchio di animale <<,False
Animal Ear << Fur,Animal Ear << Fur,Orecchio di animale << Pelliccia,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Orecchio animale << Contorno di pelliccia,False
Animal Ear << Outline,Animal Ear << Outline,Orecchio animale << Schema,False
Antenna >>,Antenna >>,Antenna >>,False
Antenna >> Outline,Antenna >> Outline,Antenna >> Contorno,False
Antenna <<,Antenna <<,Antenna <<,False
Antenna << Outline,Antenna << Outline,Antenna << Schema,False
Hair Rear,Hair Rear,Capelli posteriori,False
Hair Rear Outline,Hair Rear Outline,Contorno posteriore dei capelli,False
Beverage Cup,Beverage Cup,Tazza per bevande,False
Beverage Liquid,Beverage Liquid,Bevanda liquida,False
Beverage Liquid 2,Beverage Liquid 2,Bevanda liquida 2,False
Bill,Bill,Conto,False
Blanket Inner,Blanket Inner,Coperta interna,False
Blanket Outter,Blanket Outter,Coperta esterna,False
Face Blush,Face Blush,Fard per il viso,False
Brow >>,Brow >>,Fronte >>,False
Brow <<,Brow <<,Sopracciglia <<,False
Chopstick,Chopstick,Bacchette,False
Crowbar,Crowbar,Piede di porco,False
Cup,Cup,Tazza,False
Cup Steam,Cup Steam,Vapore in tazza,False
Door/Wall,Door/Wall,Porta/muro,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Pupilla dell'occhio (idiota) >>,False
