Key,en,pt-br,reviewed
Alert Bits,Alert Bits,Alerta de Bits,False
Alert Donation,Alert Donation,Alerta de doação,False
Alert Heart,Alert Heart,Alerta de Coração,False
Alert Like,Alert Like,Alerta de Like,False
Alert Star,Alert Star,Alerta de Estrela,False
Angry,Angry,Raiva,False
Arrive,Arrive,Chegada,False
Arrive (with Chopstick),Arrive (with Chopstick),Chegada (com Hashi),False
Arrive (with Spoon),Arrive (with Spoon),Chegada (com Colher),False
Bonk,Bonk,Bonk,False
Copium,Copium,Copium,False
Crowbar 1,Crowbar 1,Pé de cabra 1,False
Crowbar 2,Crowbar 2,Pé de cabra 2,False
Crowbar 3,Crowbar 3,Pé de cabra 3,False
Cry 1,Cry 1,Choro 1,False
Cry 2,Cry 2,Choro 2,False
Cry 3,Cry 3,Choro 3,False
Dead,Dead,Morto,False
Dizzy,Dizzy,Tontura,False
Drink (Beverage Cup),Drink (Beverage Cup),Beber (Copo),False
Drive,Drive,Dirigir,False
Drooling (Chopstick),Drooling (Chopstick),Babando (Hashi),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Babando (Garfo & Faca),False
Dum 1,Dum 1,Bobo 1,False
Dum 2,Dum 2,Bobo 2,False
Dum 3,Dum 3,Bobo 3,False
Dum Sticker 1,Dum Sticker 1,Bobo Adesivo 1,False
Dum Sticker 2,Dum Sticker 2,Bobo Adesivo 2,False
Dum Sticker 3,Dum Sticker 3,Bobo Adesivo 3,False
Exclamation,Exclamation,Exclamação,False
Jail 1,Jail 1,Prisão 1,False
Jail 2,Jail 2,Prisão 2,False
Knife 1,Knife 1,Faca 1,False
Knife 2,Knife 2,Faca 2,False
Laugh,Laugh,Rir,False
Lick,Lick,Lamber,False
Lightstick 1,Lightstick 1,Bastão de Luz 1,False
Lightstick 2,Lightstick 2,Bastão de Luz 2,False
Lurk 1,Lurk 1,Espreitar 1,False
Lurk 2,Lurk 2,Espreitar 2,False
Luv 1,Luv 1,Amor 1,False
Luv 2,Luv 2,Amor 2,False
Luv 3,Luv 3,Amor 3,False
Money,Money,Dinheiro,False
Mute 1,Mute 1,Mudo 1,False
Mute 2,Mute 2,Mudo 2,False
Nervous 1,Nervous 1,Nervoso 1,False
Nervous 2,Nervous 2,Nervoso 2,False
Noted 1,Noted 1,Anotando 1,False
Noted 2,Noted 2,Anotando 2,False
Pat,Pat,Carinho,False
Point,Point,Apontar,False
Question,Question,Pergunta,False
Raid 1,Raid 1,Raid 1,False
Raid 2,Raid 2,Raid 2,False
RedPacket 1,RedPacket 1,Pacote Vermelho 1,False
RedPacket 2,RedPacket 2,Pacote Vermelho 2,False
Rose,Rose,Rosa,False
Score (0 Point),Score (0 Point),Pontuação (0 pontos),False
Score (10 Point),Score (10 Point),Pontuação (10 pontos),False
Shy 1,Shy 1,Tímido 1,False
Shy 2,Shy 2,Tímido 2,False
Sleep (Normal),Sleep (Normal),Dormindo (Normal),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Dormindo (Preparação 1),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Dormindo (Preparação 2),False
Sleep (UU),Sleep (UU),Dormindo (UU),False
Sparkling,Sparkling,Brilhante,False
Surprise,Surprise,Surpresa,False
Sweat,Sweat,Suando,False
Thumb Down,Thumb Down,Polegar para Baixo,False
Thumb Up,Thumb Up,Polegar para Cima,False
Type Angry,Type Angry,Escrevendo Raiva,False
Type Annoyed,Type Annoyed,Escrevendo Ódio,False
Type Normal,Type Normal,Escrevendo Normal,False
Work Angry,Work Angry,Trabalhando Ódio,False
Work Nap,Work Nap,Trabalhando Sono,False
Work Normal,Work Normal,Trabalhando Normal,False
Work Tired,Work Tired,Trabalhando Cansado,False
Bell,Bell,Sino,False
Cake,Cake,Bolo,False
Caught in 4K (Phone),Caught in 4K (Phone),Pego em 4K (Telefone),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),Pego em 4K (Câmera de Vídeo),False
Celebration,Celebration,Celebração,False
Head Nod,Head Nod,Aceno a Cabeça,False
Head Shake,Head Shake,Sacudir a Cabeça,False
Hypnosis,Hypnosis,Hipnose,False
Laugh (Point),Laugh (Point),Rir (Apontando),False
Love Letter,Love Letter,Carta de Amor,False
Need Food,Need Food,Precisa de Comida,False
PNGTuber Idle,PNGTuber Idle,PNGTuber Inativo ,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Inativo 2,False
PNGTuber Talk,PNGTuber Talk,PNGTuber Falando,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Falando 2,False
PNGTuber Yap,PNGTuber Yap,PNGTuber Conversando,False
Popcat Frame,Popcat Frame,Popcat Frame,False
Popcat Smooth,Popcat Smooth,Popcat Suave,False
Sing,Sing,Cantando,False
Tablet,Tablet,Tablet,False
Tail Wag,Tail Wag,Balançando a cauda,False
