Key,en,pt-br,reviewed
Eyelash Length,Eyelash Length,Comprimento dos Cílios,False
Brows Distance,Brows Distance,Distância das Sobrancelhas,False
Brows Height,Brows Height,Altura das Sobrancelhas,False
Ear Shape 1,Ear Shape 1,Formato da Orelha 1,False
Ear Shape 2,Ear Shape 2,Formato da Orelha 2,False
Hair Bang >< Length,Hair Bang >< Length,Franja >< Comprimento,False
Hair Bang >< Shear,Hair Bang >< Shear,Franja >< Deslocamento,False
Hair Bang >> Position,Hair Bang >> Position,Franja >> Posição,False
Hair Bang >> Length,Hair Bang >> Length,Franja >> Comprimento,False
Hair Bang >> Shear,Hair Bang >> Shear,Franja >> Deslocamento,False
Hair Bang << Position,Hair Bang << Position,Franja << Posição,False
Hair Bang << Length,Hair Bang << Length,Franja << Comprimento,False
Hair Bang << Shear,Hair Bang << Shear,Franja << Deslocamento,False
Hair Framing << Length,Hair Framing << Length,Mecha do Rosto << Comprimento,False
Hair Framing >> Length,Hair Framing >> Length,Mecha do Rosto >> Comprimento,False
Hair Side Length,Hair Side Length,Comprimento do Cabelo Lateral,False
Hair Rear Length,Hair Rear Length,Comprimento do Cabelo de Trás,False
Ahoge Position,Ahoge Position,Posição do Ahoge,False
Ahoge Angle,Ahoge Angle,Ângulo do Ahoge,False
Animal Ear & Antenna Position,Animal Ear & Antenna Position,Orelhas de Animal & Posição da Antena,False
Fin & Gill Position,Fin & Gill Position,Posição da Barbatana & Brânquia,False
Halo Position,Halo Position,Posição da Auréola,False
Hat Position,Hat Position,Posição do Chapéu,False
Horn >> Length,Horn >> Length,Chifre >> Tamanho,False
Horn << Length,Horn << Length,Chifre << Tamanho,False
Horn >< Length,Horn >< Length,Chifre >< Tamanho,False
Horn Position,Horn Position,Posição do Chifre,False
Ear Wing Position,Ear Wing Position,Posição das Asas de Orelha,False
Wing Size,Wing Size,Tamanho das Asas,False
Wing Position,Wing Position,Posição das Asas,False
Wing Angle,Wing Angle,Ângulo das Asas,False
Tail Size,Tail Size,Tamanho da Cauda,False
Tail Flip,Tail Flip,Lado da Cauda,False
Tail Angle,Tail Angle,Ângulo da Cauda,False
