Key,en,pt-br,reviewed
Hair Ahoge,Hair Ahoge,Cabelo Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Contorno Cabelo de Ahoge,False
Animal Ear >>,Animal Ear >>,Orelha de Animal >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Orelha de Animal >> Pelo,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Orelha de Animal >> Pelo Contorno,False
Animal Ear >> Outline,Animal Ear >> Outline,Orelha de Animal >> Contorno,False
Animal Ear <<,Animal Ear <<,Orelha de Animal <<,False
Animal Ear << Fur,Animal Ear << Fur,Orelha de Animal << Pelo,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Orelha de Animal << Pelo Contorno,False
Animal Ear << Outline,Animal Ear << Outline,Orelha de Animal << Contorno,False
Antenna >>,Antenna >>,Antena >>,False
Antenna >> Outline,Antenna >> Outline,Antena >> Contorno,False
Antenna <<,Antenna <<,Antena <<,False
Antenna << Outline,Antenna << Outline,Antena << Contorno,False
Hair Rear,Hair Rear,Cabelo de Trás,False
Hair Rear Outline,Hair Rear Outline,Cabelo de Trás Contorno,False
Beverage Cup,Beverage Cup,Copo de Bebida,False
Beverage Liquid,Beverage Liquid,Bebida Liquido,False
Beverage Liquid 2,Beverage Liquid 2,Bebida Liquido 2,False
Bill,Bill,Conta,False
Blanket Inner,Blanket Inner,Cobertor Interior,False
Blanket Outter,Blanket Outter,Cobertor Exterior,False
Face Blush,Face Blush,Rosto Corado,False
Brow >>,Brow >>,Sobrancelha >>,False
Brow <<,Brow <<,Sobrancelha <<,False
Chopstick,Chopstick,Hashi,False
Crowbar,Crowbar,Pé de Cabra,False
Cup,Cup,Copo,False
Cup Steam,Cup Steam,Vapor do Copo,False
Door/Wall,Door/Wall,Porta/Parede,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Olho(Bobo) Pupila >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Olho(Bobo) Pupila <<,False
Eyebag,Eyebag,Olheira,False
Eye Iris Dark >>,Eye Iris Dark >>,Olho Iris Escura >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Olho Iris Escura <<,False
Eye Dollar,Eye Dollar,Olho Dolar,False
Eye Heart,Eye Heart,Olho Coração,False
Eye Highlight,Eye Highlight,Olhos Destaque,False
Eyelashes,Eyelashes,Cílios,False
Eye Iris Light >>,Eye Iris Light >>,Olho Iris Clara >>,False
Eye Iris Light <<,Eye Iris Light <<,Olho Iris Clara <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Olho(Bobo) Contorno,False
Eye Sparkling,Eye Sparkling,Olhos Brilho,False
Eye Spiral,Eye Spiral,Olhos Espiral,False
Eye White,Eye White,Branco do Olho,False
Face Shadow,Face Shadow,Sombreamento do Rosto,False
Fin >>,Fin >>,Barbatana >>,False
Fin >> Outline,Fin >> Outline,Barbatana >> Contorno,False
Fin <<,Fin <<,Barbatana <<,False
Fin << Outline,Fin << Outline,Barbatana << Contorno,False
Hair Framing >>,Hair Framing >>,Emolduração do Cabelo >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Emolduração do Cabelo >> Contorno,False
Hair Framing <<,Hair Framing <<,Emolduração do Cabelo <<,False
Hair Framing << Outline,Hair Framing << Outline,Emolduração do Cabelo << Contorno,False
Gill,Gill,Brânquia,False
Gill Outline,Gill Outline,Contorno da Brânquia,False
Glasses,Glasses,Óculos,False
Hairband A,Hairband A,Faixa de Cabelo A,False
Hairband A Outline,Hairband A Outline,Contorno da Faixa de Cabelo A,False
Hairband B,Hairband B,Faixa de Cabelo B,False
Hairband B Outline,Hairband B Outline,Contorno da Faixa de Cabelo B,False
Hairband C,Hairband C,Faixa de Cabelo C,False
Hairband C Outline,Hairband C Outline,Contorno da Faixa de Cabelo C,False
Hairband D,Hairband D,Faixa de Cabelo D,False
Hairband D Outline,Hairband D Outline,Faixa de Cabelo D Contorno,False
Hair Bang >>,Hair Bang >>,Franja do Cabelo >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Franja do Cabelo >> Contorno,False
Hair Bang ><,Hair Bang ><,Franja do Cabelo ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Franja do Cabelo >< Contorno,False
Hair Bang <<,Hair Bang <<,Franja do Cabelo <<,False
Hair Bang << Outline,Hair Bang << Outline,Franja do Cabelo << Contorno,False
Hair Clip >>,Hair Clip >>,Grampo de Cabelo >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Grampo de Cabelo >> Contorno,False
Hair Clip <<,Hair Clip <<,Grampo de Cabelo <<,False
Hair Clip << Outline,Hair Clip << Outline,Grampo de Cabelo << Contorno,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Mechas do Cabelo 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Mechas do Cabelo 1 >> Contorno,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Mechas do Cabelo 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Mechas do Cabelo 2 >> Contorno,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Mechas do Cabelo 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Mechas do Cabelo 3 >> Contorno,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Mechas do Cabelo 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Mechas do Cabelo 1 >< Contorno,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Mechas do Cabelo 2 >< ,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Mechas do Cabelo 2 >< Contorno,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Mechas do Cabelo 3 >< ,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Mechas do Cabelo 3 >< Contorno,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Mechas do Cabelo 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Mechas do Cabelo 4 >< Contorno,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Mechas do Cabelo 5 >< ,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Mechas do Cabelo 5 >< Contorno,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Mechas do Cabelo 6 >< ,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Mechas do Cabelo 5 >< Contorno,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Mechas do Cabelo 1 << ,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Mechas do Cabelo 1 << Contorno,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Mechas do Cabelo 2 << ,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Mechas do Cabelo 2 << Contorno,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Mechas do Cabelo 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Mechas do Cabelo 3 << Contorno,False
Hairline Outline,Hairline Outline,Contorno da Frente do Cabelo ,False
Hair Shine,Hair Shine,Cabelo Brilhante,False
Hair Shine Outline,Hair Shine Outline,Contorno do Cabelo Brilhante,False
Halo,Halo,Auréola,False
Halo Outline,Halo Outline,Contorno da Auréola,False
Hat,Hat,Chapéu,False
Hat Outline,Hat Outline,Contorno do Chapéu,False
Hat Secondary,Hat Secondary,Chapéu Secundário,False
Hat Secondary Outline,Hat Secondary Outline,Contorno do Chapéu Secundário,False
Hammer,Hammer,Martelo,False
Ear Wing >>,Ear Wing >>,Asa Orelha >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Asa Orelha >> Contorno,False
Ear Wing <<,Ear Wing <<,Asa Orelha <<,False
Ear Wing << Outline,Ear Wing << Outline,Asa Orelha << Contorno,False
Heart,Heart,Coração,False
Horn >>,Horn >>,Chifre >> ,False
Horn >> Outline,Horn >> Outline,Chifre >> Contorno,False
Horn <<,Horn <<,Chifre <<,False
Horn << Outline,Horn << Outline,Chifre << Contorno,False
Horn ><,Horn ><,Chifre ><,False
Horn >< Outline,Horn >< Outline,Chifre >< Contorno,False
Jail Grill,Jail Grill,Grade da Prisão,False
Keyboard,Keyboard,Teclado,False
Kitchen Knife,Kitchen Knife,Faca de Cozinha,False
Laptop,Laptop,Computador Portátil,False
Laptop Light,Laptop Light,Luz do Computador Portátil,False
Leg >>,Leg >>,Perna >>,False
Leg <<,Leg <<,Perna <<,False
Lightstick Handle,Lightstick Handle,Cabo Bastão de Luz,False
Light Stick >>,Light Stick >>,Bastão de Luz >>,False
Light Stick <<,Light Stick <<,Bastão de Luz <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Mecha >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Contorno,False
Mecha Outline,Mecha Outline,Mecha Contorno,False
Mecha <<,Mecha <<,Mecha <<,False
Mecha << Outline,Mecha << Outline,Mecha << Contorno,False
Mouse,Mouse,Rato,False
Mouth/Tongue,Mouth/Tongue,Boca/Lingua,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Boca/Lingua Sombra,False
Notepad,Notepad,Bloco de Notas,False
Outfit Collar,Outfit Collar,Gola,False
Outfit Collar Outline,Outfit Collar Outline,Contorno da Gola,False
Outfit Inner,Outfit Inner,Roupa Interior,False
Outfit Inner Outline,Outfit Inner Outline,Contorno da Roupa Interior,False
Outfit Neckwear A,Outfit Neckwear A,Acessório de Pescoço A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Acessório de Pescoço A Contorno,False
Outfit Neckwear B,Outfit Neckwear B,Acessório de Pescoço B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Acessório de Pescoço B Contorno,False
Outfit Neckwear C,Outfit Neckwear C,Acessório de Pescoço C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Acessório de Pescoço C Contorno,False
Outfit Outer,Outfit Outer,Roupa Exterior,False
Outfit Outer Outline,Outfit Outer Outline,Contorno da Roupa Exterior,False
Pencil,Pencil,Lápis,False
Phone,Phone,Telefone,False
Phone Light,Phone Light,Luz do Telefone,False
Hair Pigtail >>,Hair Pigtail >>,Rabo de Cavalo >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Rabo de Cavalo >> Contorno,False
Hair Pigtail <<,Hair Pigtail <<,Rabo de Cavalo << ,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Rabo de Cavalo << Contorno,False
Rose,Rose,Rosa,False
Round Sign,Round Sign,Sinal Redondo,False
Round Sign Text,Round Sign Text,Sinal Redondo com Texto,False
Hair Side,Hair Side,Cabelo Lateral,False
Hair Side Outline,Hair Side Outline,Contorno do Cabelo Lateral,False
Skin,Skin,Pele,False
Skin Outline,Skin Outline,Contorno da Pele,False
Square Sign,Square Sign,Sinal Quadrado,False
Square Sign Text,Square Sign Text,Texto do Sinal Quadrado,False
Steering Wheel,Steering Wheel,Volante,False
Gas Bottle,Gas Bottle,Garrafa de Gás,False
Pat Hand,Pat Hand,Carinho Mão,False
Sticker Alert,Sticker Alert,Alerta de Figurinha,False
Sticker Alert Effect,Sticker Alert Effect,Efeito de Alerta de Figurinha,False
Sticker Alert Outline,Sticker Alert Outline,Contorno do Alerta de Figurinha,False
Sticker Angry,Sticker Angry,Figurinha Raiva,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Figurinha Ponto de Exclamação,False
Sticker Ghost,Sticker Ghost,Figurinha Fantasma,False
Sticker Heart,Sticker Heart,Figurinha Coração,False
Sticker Laugh,Sticker Laugh,Figurinha Rindo,False
Sticker Question Mark,Sticker Question Mark,Figurinha Ponto de Interrogação,False
Sticker Sleep,Sticker Sleep,Figurinha Dormindo,False
Sticker Star,Sticker Star,Figurinha Estrela,False
Sticker Steam,Sticker Steam,Figurinha Vapor,False
Sticker Surprise,Sticker Surprise,Figurinha Surpreso,False
Sticker Sweat,Sticker Sweat,Figurinha Soando,False
Sticker Sweat (Large),Sticker Sweat (Large),Figurinha Soando (Grande),False
Sticker Volume,Sticker Volume,Figurinha Volume,False
Sticky Note,Sticky Note,Nota Adesiva,False
Sticky Note Text,Sticky Note Text,Texto da Nota Adesiva,False
Eye Tear,Eye Tear,Lágrima do Olho,False
Utensil,Utensil,Utensílio,False
Outfit Collar String,Outfit Collar String,Corda da Roupa,False
Bell,Bell,Sino,False
Confetti 1,Confetti 1,Confete 1,False
Confetti 2,Confetti 2,Confete 2,False
Confetti 3,Confetti 3,Confete 3,False
Microphone,Microphone,Microfone,False
Gleam,Gleam,Brilho,False
