Key,en,tr,reviewed
Alert Bits,Alert Bits,Uyarı Bitleri,False
Alert Donation,Alert Donation,Bağış Uyarısı,False
Alert Heart,Alert Heart,Uyarı Kalbi,False
Alert Like,Alert Like,Uyarı Beğen,False
Alert Star,Alert Star,Uyarı Yıldızı,False
Angry,Angry,Sinirli,False
Arrive,Arrive,Varmak,False
Arrive (with Chopstick),Arrive (with Chopstick),Gelmek (Çubuk ile),False
Arrive (with Spoon),Arrive (with Spoon),Gel (Kaşıkla),False
Bonk,Bonk,Lanet olsun,False
Copium,Copium,kopya,False
Crowbar 1,Crowbar 1,Kazayağı 1,False
Crowbar 2,Crowbar 2,Kazayağı 2,False
Crowbar 3,Crowbar 3,Kazayağı 3,False
Cry 1,Cry 1,Ağla 1,False
Cry 2,Cry 2,Ağla 2,False
Cry 3,Cry 3,Ağla 3,False
Dead,Dead,Ölü,False
Dizzy,Dizzy,Başı dönmek,False
Drink (Beverage Cup),Drink (Beverage Cup),İçecek (İçecek Bardağı),False
Drive,Drive,Sürmek,False
Drooling (Chopstick),Drooling (Chopstick),Salya akıtmak (Çubuk),False
Drooling (Fork&Knife),Drooling (Fork&Knife),Salya Akıtma (Çatal&Bıçak),False
Dum 1,Dum 1,Aptal 1,False
Dum 2,Dum 2,Aptal 2,False
Dum 3,Dum 3,Aptal 3,False
Dum Sticker 1,Dum Sticker 1,Aptal Etiket 1,False
Dum Sticker 2,Dum Sticker 2,Aptal Etiket 2,False
Dum Sticker 3,Dum Sticker 3,Aptal Etiket 3,False
Exclamation,Exclamation,Ünlem,False
Jail 1,Jail 1,Hapishane 1,False
Jail 2,Jail 2,Hapishane 2,False
Knife 1,Knife 1,Bıçak 1,False
Knife 2,Knife 2,Bıçak 2,False
Laugh,Laugh,Gülmek,False
Lick,Lick,Yalamak,False
Lightstick 1,Lightstick 1,Işık Çubuğu 1,False
Lightstick 2,Lightstick 2,Işık Çubuğu 2,False
Lurk 1,Lurk 1,Gizli 1,False
Lurk 2,Lurk 2,Pusuda 2,False
Luv 1,Luv 1,Aşk 1,False
Luv 2,Luv 2,Aşk 2,False
Luv 3,Luv 3,Aşk 3,False
Money,Money,Para,False
Mute 1,Mute 1,Sessize alma 1,False
Mute 2,Mute 2,Sessiz 2,False
Nervous 1,Nervous 1,Sinirli 1,False
Nervous 2,Nervous 2,Sinir 2,False
Noted 1,Noted 1,Not edildi 1,False
Noted 2,Noted 2,Not edildi 2,False
Pat,Pat,Pat,False
Point,Point,Nokta,False
Question,Question,Soru,False
Raid 1,Raid 1,Baskın 1,False
Raid 2,Raid 2,Baskın 2,False
RedPacket 1,RedPacket 1,Kırmızı Paket 1,False
RedPacket 2,RedPacket 2,Kırmızı Paket 2,False
Rose,Rose,Gül,False
Score (0 Point),Score (0 Point),Puan (0 Puan),False
Score (10 Point),Score (10 Point),Puan (10 Puan),False
Shy 1,Shy 1,Utangaç 1,False
Shy 2,Shy 2,Utangaç 2,False
Sleep (Normal),Sleep (Normal),Uyku (Normal),False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),Uyku (Hazırlık Aşaması 1),False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),Uyku (2. Aşamaya Hazırlık),False
Sleep (UU),Sleep (UU),Uyku (UU),False
Sparkling,Sparkling,Köpüklü,False
Surprise,Surprise,Sürpriz,False
Sweat,Sweat,Ter,False
Thumb Down,Thumb Down,Başparmak Aşağı,False
Thumb Up,Thumb Up,Başparmak Yukarı,False
Type Angry,Type Angry,Kızgın yazın,False
Type Annoyed,Type Annoyed,Türü Sinirlendi,False
Type Normal,Type Normal,Normal yazın,False
Work Angry,Work Angry,Öfkeli Çalışmak,False
Work Nap,Work Nap,İş Şekerlemesi,False
Work Normal,Work Normal,Normal Çalışma,False
Work Tired,Work Tired,Yorgun Çalışıyorum,False
Bell,Bell,Zil,False
Cake,Cake,Kek,False
Caught in 4K (Phone),Caught in 4K (Phone),4K'da yakalandı (Telefon),False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),4K'da yakalandı (Video Kamera),False
Celebration,Celebration,Kutlama,False
Head Nod,Head Nod,Baş sallama,False
Head Shake,Head Shake,Kafa sallama,False
Hypnosis,Hypnosis,Hipnoz,False
Laugh (Point),Laugh (Point),Gülmek (Nokta),False
Love Letter,Love Letter,Aşk mektubu,False
Need Food,Need Food,Yiyeceğe İhtiyacım Var,False
PNGTuber Idle,PNGTuber Idle,PNGTuber Boşta,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Boşta 2,False
PNGTuber Talk,PNGTuber Talk,PNGTuber Konuşması,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber Konuşması 2,False
PNGTuber Yap,PNGTuber Yap,PNGTuber Yap,False
Popcat Frame,Popcat Frame,Popcat Çerçevesi,False
Popcat Smooth,Popcat Smooth,Patlamış Kedi Pürüzsüz,False
Sing,Sing,Şarkı söylemek,False
Tablet,Tablet,Tablet,False
Tail Wag,Tail Wag,Kuyruk Sallama,False
