Key,en,tr,reviewed
Brows,Brows,Kaşlar,False
Ear,Ear,Kulak,False
Eye,Eye,Göz,False
Base Hair,Base Hair,Baz Saç,False
Hair Bang >>,Hair Bang >>,Saç Patlaması >>,False
Hair Bang ><,Hair Bang ><,Saç Patlaması ><,False
Hair Bang <<,Hair Bang <<,Saç Patlaması <<,False
Hair Shine,Hair Shine,Saç Parlatıcı,False
Hair Branch >>,Hair Branch >>,Saç Dalı >>,False
Hair Branch <<,Hair Branch <<,Saç Dalı <<,False
Hair Framing >>,Hair Framing >>,Saç Çerçeveleme >>,False
Hair Framing <<,Hair Framing <<,Saç Çerçeveleme <<,False
Hair Framing,Hair Framing,Saç Çerçeveleme,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Saç Vurgulama 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Saç Vurgulama 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Saç Vurgulama 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Saç Vurgulama 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Saç Vurgulama 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Saç Vurgulama 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Saç Vurgulama 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Saç Vurgulama 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Saç Vurgulama 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Saç Vurgulama 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Saç Vurgulama 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Saç Vurgulama 3 <<,False
Hair Side,Hair Side,Saç Tarafı,False
Hair Ahoge,Hair Ahoge,Saç Ahoge,False
Hair Rear,Hair Rear,Arka Saç,False
Hair Pigtail >>,Hair Pigtail >>,Saç Örgüsü >>,False
Hair Pigtail <<,Hair Pigtail <<,Saç Örgüsü <<,False
Animal Ear,Animal Ear,Hayvan Kulağı,False
Antenna,Antenna,Anten,False
Fin,Fin,Yüzgeç,False
Gill,Gill,Solungaç,False
Glasses,Glasses,Gözlük,False
Hairband A,Hairband A,Saç bandı A,False
Hairband B,Hairband B,Saç bandı B,False
Hairband C,Hairband C,Saç bandı C,False
Hairband D,Hairband D,Saç bandı D,False
Hair Clip >>,Hair Clip >>,Saç Tokası >>,False
Hair Clip <<,Hair Clip <<,Saç tokası <<,False
Halo,Halo,Hale,False
Hat,Hat,Şapka,False
Ear Wing,Ear Wing,Kulak Kanadı,False
Horn,Horn,Korna,False
Horn Front ><,Horn Front ><,Korna Önü ><,False
Horn Front,Horn Front,Korna Önü,False
Mecha,Mecha,Mecha,False
Outfit Collar Inner,Outfit Collar Inner,Kıyafet Yaka İçi,False
Outfit Inner,Outfit Inner,Kıyafet İçi,False
Outfit Outer,Outfit Outer,Kıyafet Dış,False
Outfit Neckwear A,Outfit Neckwear A,Kıyafet Boyunbağı A,False
Outfit Neckwear B,Outfit Neckwear B,Kıyafet Boyunbağı B,False
Outfit Neckwear C,Outfit Neckwear C,Kıyafet Boyunbağı C,False
Hair Side Branch >> A,Hair Side Branch >> A,Saç Yan Şubesi >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Saç Yan Dal >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Saç Yan Dal >> C,False
Hair Side Branch << A,Hair Side Branch << A,Saç Yan Şubesi << A,False
Hair Side Branch << B,Hair Side Branch << B,Saç Yan Şubesi << B,False
Hair Side Branch << C,Hair Side Branch << C,Saç Yan Şubesi << C,False
Tail,Tail,Kuyruk,False
Wing,Wing,Kanat,False
