Key,en,tr,reviewed
Hair Ahoge,Hair Ahoge,Saç Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Saç Ahoge Anahat,False
Animal Ear >>,Animal Ear >>,Hayvan Kulağı >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Hayvan Kulağı >> Kürk,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Hayvan Kulağı >> Kürk Anahat,False
Animal Ear >> Outline,Animal Ear >> Outline,Hayvan Kulağı >> Anahat,False
Animal Ear <<,Animal Ear <<,Hayvan Kulağı <<,False
Animal Ear << Fur,Animal Ear << Fur,Hayvan Kulağı << Kürk,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Hayvan Kulağı << Kürk Anahat,False
Animal Ear << Outline,Animal Ear << Outline,Hayvan Kulağı << Anahat,False
Antenna >>,Antenna >>,Anten >>,False
Antenna >> Outline,Antenna >> Outline,Anten >> Anahat,False
Antenna <<,Antenna <<,Anten <<,False
Antenna << Outline,Antenna << Outline,Anten << Anahat,False
Hair Rear,Hair Rear,Arka Saç,False
Hair Rear Outline,Hair Rear Outline,Saç Arka Taslağı,False
Beverage Cup,Beverage Cup,İçecek Kupası,False
Beverage Liquid,Beverage Liquid,İçecek Sıvısı,False
Beverage Liquid 2,Beverage Liquid 2,İçecek Sıvısı 2,False
Bill,Bill,Fatura,False
Blanket Inner,Blanket Inner,Battaniye İçi,False
Blanket Outter,Blanket Outter,Battaniye Çıkışı,False
Face Blush,Face Blush,Yüz Allık,False
Brow >>,Brow >>,Kaş >>,False
Brow <<,Brow <<,Kaş <<,False
Chopstick,Chopstick,Çubuk,False
Crowbar,Crowbar,Kazayağı,False
Cup,Cup,Bardak,False
Cup Steam,Cup Steam,Bardak Buharı,False
Door/Wall,Door/Wall,Kapı/Duvar,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Göz(Dum) Gözbebeği >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Göz(Dum) Gözbebeği <<,False
Eyebag,Eyebag,Göz torbası,False
