Key,en,zh-Hant,reviewed
Brows,Brows,眉毛,False
Ear,Ear,耳朵,False
Eye,Eye,眼睛,False
Base Hair,Base Hair,基礎頭髮,False
Hair Bang >>,Hair Bang >>,頭髮 劉海 >>,False
Hair Bang ><,Hair Bang ><,頭髮 劉海 ><,False
Hair Bang <<,Hair Bang <<,頭髮 劉海 <<,False
Hair Shine,Hair Shine,頭髮 高光,False
Hair Branch >>,Hair Branch >>,頭髮 分叉 >>,False
Hair Branch <<,Hair Branch <<,頭髮 分叉 <<,False
Hair Framing >>,Hair Framing >>,頭髮 臉頰 >>,False
Hair Framing <<,Hair Framing <<,頭髮 臉頰 <<,False
Hair Framing,Hair Framing,頭髮 臉頰兩側,False
Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 <<,False
Hair Side,Hair Side,頭髮 側面,False
Hair Ahoge,Hair Ahoge,頭髮 呆毛,False
Hair Rear,Hair Rear,頭髮 後側,False
Hair Pigtail >>,Hair Pigtail >>,頭髮 馬尾 >>,False
Hair Pigtail <<,Hair Pigtail <<,頭髮 馬尾 <<,False
Animal Ear,Animal Ear,獸耳,False
Antenna,Antenna,觸角,False
Fin,Fin,鰭,False
Gill,Gill,鰓,False
Glasses,Glasses,眼鏡,False
Hairband A,Hairband A,髮帶 A,False
Hairband B,Hairband B,髮帶 B,False
Hairband C,Hairband C,髮帶 C,False
Hairband D,Hairband D,髮帶 D,False
Hair Clip >>,Hair Clip >>,髮夾 >>,False
Hair Clip <<,Hair Clip <<,髮夾 <<,False
Halo,Halo,光環,False
Hat,Hat,帽子,False
Ear Wing,Ear Wing,翅膀耳朵,False
Horn,Horn,角,False
Horn Front ><,Horn Front ><,角 前 ><,False
Horn Front,Horn Front,角 前,False
Mecha,Mecha,機械,False
Outfit Collar Inner,Outfit Collar Inner,服裝 領子 裏側,False
Outfit Inner,Outfit Inner,服裝 內側,False
Outfit Outer,Outfit Outer,服裝 外側,False
Outfit Neckwear A,Outfit Neckwear A,服裝 頸部裝飾 A,False
Outfit Neckwear B,Outfit Neckwear B,服裝 頸部裝飾 B,False
Outfit Neckwear C,Outfit Neckwear C,服裝 頸部裝飾 C,False
Hair Side Branch >> A,Hair Side Branch >> A,頭髮 側面分叉 >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,頭髮 側面分叉 >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,頭髮 側面分叉 >> C,False
Hair Side Branch << A,Hair Side Branch << A,頭髮 側面分叉 << A,False
Hair Side Branch << B,Hair Side Branch << B,頭髮 側面分叉 << B,False
Hair Side Branch << C,Hair Side Branch << C,頭髮 側面分叉 << C,False
Tail,Tail,尾巴,False
Wing,Wing,翅膀,False
